N,D,Q,L,C_train,C_Q,C_attn,C_total,C,form,s_train,s_Q,s_attn
0.2077410040447378,2.8886648940864608,0.6263300562193627,3.4426775317260976,3.600564872677845e+18,9.197103396452548e+17,4.9159712394961517e+17,5.011872336272715e+18,5.011872336272715e+18,exp,0.7184071403054838,0.18350633813814085,0.0980865215563754
0.22335267434396106,2.986955221629413,0.6416212428771499,3.4098945464006976,4.0028666213795297e+18,1.074021907818273e+18,5.4652472270568525e+17,5.623413251903488e+18,5.623413251903491e+18,exp,0.711821529393129,0.19099110446039577,0.09718736614647523
0.24004191014796852,3.0909062962689737,0.6568242484102681,3.3774799047382245,4.4516823086687227e+18,1.2500881115896494e+18,6.078030245435698e+17,6.309573444801942e+18,6.309573444801943e+18,exp,0.7055440986008622,0.19812561380350013,0.09633028759563775
0.25788889328722314,3.2005730550197247,0.6719511607474415,3.3454366914112965,4.952353458263661e+18,1.450943060076143e+18,6.761613255015986e+17,7.079457843841402e+18,7.079457843841402e+18,exp,0.6995385194039735,0.20495115474673742,0.0955103258492892
0.2769796606456621,3.316029046390072,0.687012763046753,3.313766981145449,5.510835599761683e+18,1.6800339935936445e+18,7.524127538874619e+17,7.943282347242789e+18,7.943282347242789e+18,exp,0.6937730976759957,0.21150374872130853,0.09472315360269595
0.2974066470106624,3.4373630387197394,0.7020187145262401,3.282471967324706,6.133767695424117e+18,1.9412779365647516e+18,8.374637493485727e+17,8.91250938133744e+18,8.91250938133744e+18,exp,0.6882200548667096,0.21781496697548913,0.0939649781578014
0.3192693196216844,3.5646749293893127,0.716977857943751,3.251552071491852,6.828548036271611e+18,2.2391275385094387e+18,9.323244252189507e+17,1e+19,1e+19,exp,0.6828548036271611,0.22391275385094386,0.09323244252189507
0.34267469072521206,3.6980747629448314,0.7318982666408684,3.221007036976328,7.603419754024993e+18,2.5786445452451144e+18,1.0381202437495456e+18,1.1220184543019653e+19,1.1220184543019653e+19,exp,0.6776554988799416,0.229821937006317,0.09252256411374135
0.3677379970691356,3.8376803126945847,0.7467873883752807,3.1908360091644745,8.467565229491764e+18,2.965583982450007e+18,1.1561049059999421e+18,1.2589254117941713e+19,1.2589254117941713e+19,exp,0.6726026141154877,0.2355647089706111,0.09183267691390125
0.39458351686976684,3.9836135779643995,0.7616522753052821,3.1610376043653914,9.431209532660087e+18,3.406491438708219e+18,1.2876744748591905e+18,1.4125375446227495e+19,1.4125375446227497e+19,exp,0.6676785030290227,0.24116112535741488,0.09116037161356257
0.4233451699907998,4.1360009634225365,0.776499571930694,3.13160996877012,1.0505736185653352e+19,3.9088125584098847e+18,1.4343831805478712e+18,1.5848931924611109e+19,1.5848931924611109e+19,exp,0.6628671405509324,0.2466293991925135,0.090503460256554
0.4541678921662377,4.294966156418627,0.7913358038028748,3.1025508286115784,1.1703814357115853e+19,4.4810189563818235e+18,1.597960786891551e+18,1.7782794100389226e+19,1.7782794100389229e+19,exp,0.6581538475362363,0.25198621381348296,0.08985993865028079
0.4872079956883285,4.460633652923641,0.8061672867806677,3.0738575322699027,1.3039538289245006e+19,5.132753232685559e+18,1.7803316277582515e+18,1.9952623149688816e+19,1.9952623149688828e+19,exp,0.6535250122963593,0.25724703935811116,0.08922794834552959
0.5226349925490882,4.633118586104608,0.8210005345490795,3.045527084690983,1.4528579386366943e+19,5.874996627097891e+18,1.9836353722186332e+18,2.238721138568347e+19,2.238721138568347e+19,exp,0.6489678029152801,0.262426459726687,0.0886057373580329
0.5606326569231782,4.812525153280746,0.8358423132449058,3.0175561740373156,1.6188352579160463e+19,6.720261997127209e+18,2.2102497388080417e+18,2.511886431509571e+19,2.511886431509572e+19,exp,0.6444699241212004,0.26753844890545175,0.08799162697334789
0.6014007880628591,4.99893915605758,0.8506999081068647,2.9899411898765473,1.8038195687587875e+19,7.682818640511286e+18,2.4628149845453317e+18,2.8183829312644493e+19,2.8183829312644493e+19,exp,0.6400193347571529,0.27259669207067044,0.08738397317217662
0.6451573391366727,5.192416826010258,0.8655816146211224,2.9626782312625033,2.0099554938943594e+19,8.778962428409756e+18,2.744259234330432e+18,3.1622776601683784e+19,3.162277660168379e+19,exp,0.6356037356274836,0.27761516766817723,0.08678109670433909
