N0,D0,Q0,eps_N,eps_D,eps_Q,r_QN,r_QD
1.0,400,0.65,-0.05996484533264913,-0.027980886305360674,-0.14856319485295721,2.4775048451941695,5.309452789724355
1.0,400,0.7,-0.059195286309587945,-0.02819042701470203,-0.14987826293487955,2.531929014601346,5.316636844724424
1.1,200,0.5,-0.05966876167442185,-0.03301324657367814,-0.14051321395023783,2.3548873817247573,4.256267666272808
1.1,200,0.55,-0.058939250746021805,-0.03324693410422256,-0.14163868402701887,2.4031300404099385,4.260202868120399
1.1,200,0.6,-0.058198610325206374,-0.03348418679588326,-0.14279687770098384,2.4536131860031225,4.2646064117208935
1.1,200,0.65,-0.057446491201881035,-0.03372511651167643,-0.14399290322939515,2.506556975314103,4.2696043223317375
1.1,200,0.7,-0.05668250329904662,-0.03396984820742704,-0.14523405687223465,2.562237876227979,4.275381390738191
1.1,250,0.5,-0.060097389321266875,-0.031152360631217978,-0.1415225837830214,2.354887381654369,4.542916842109253
1.1,250,0.55,-0.05936565665728998,-0.03137447104987616,-0.14266339287744823,2.4031300403367046,4.547117070138186
1.1,250,0.6,-0.058622684469252034,-0.03159999311802472,-0.14383739161265727,2.453613186003123,4.551817181587044
1.1,250,0.65,-0.057868118926105334,-0.03182903423779661,-0.14504973714253536,2.5065569753141026,4.557151689204899
1.1,250,0.7,-0.05710156498278508,-0.03206171432144224,-0.1463077925907852,2.562237876227979,4.563317828982633
1.1,300,0.5,-0.060431668367792964,-0.02970108891140374,-0.14230977329163716,2.3548873816543696,4.79139918796032
1.1,300,0.55,-0.05969823311167434,-0.029914038371017828,-0.14346261734568796,2.4031300403367046,4.795829154404024
1.1,300,0.6,-0.058953472654231696,-0.030130276049269034,-0.1446490178650974,2.4536131860031225,4.800786346217582
1.1,300,0.65,-0.058197029540032544,-0.030349905731766456,-0.14587417033612946,2.5065569753141026,4.806412633547219
1.1,300,0.7,-0.057428504832267996,-0.03057304324803944,-0.1471454902563786,2.5622378762279796,4.81291604053236
1.1,350,0.5,-0.060703449237941194,-0.0285211528862734,-0.14294978663332428,2.3548873816543696,5.012062001957952
1.1,350,0.55,-0.0599686491565824,-0.02872656877636703,-0.14411246226659555,2.4031300403367046,5.016695985813487
1.1,350,0.6,-0.059222454307846645,-0.028935170113356636,-0.14530899479268342,2.4536131859268586,5.021881475844788
1.1,350,0.65,-0.058464504274541015,-0.029147057652192988,-0.14654461099298416,2.506556975234605,5.0277668758773775
1.1,350,0.7,-0.05769439694566064,-0.029362343805010446,-0.1478267690955174,2.5622378761450224,5.034569790382059
1.1,400,0.5,-0.06093105091032793,-0.027533020742293194,-0.14348576293967122,2.354887381654369,5.211406488328547
1.1,400,0.55,-0.060195121280182014,-0.02773206875626614,-0.14465670423011662,2.4031300403367046,5.216224779387619
1.1,400,0.6,-0.05944773868685967,-0.02793421447069666,-0.14586175552014685,2.4536131860031225,5.221616511649456
1.1,400,0.65,-0.05868854023185237,-0.028139556039407154,-0.14710616988915187,2.506556975314102,5.227735991397365
1.1,400,0.7,-0.0579171211344534,-0.02834820294416105,-0.1483974414527805,2.562237876227979,5.234809477873668
1.2,200,0.5,-0.05854427336656662,-0.03318347585286017,-0.13925192711852502,2.3785746941740817,4.19642377838856
1.2,200,0.55,-0.0578134688193335,-0.033416245115683633,-0.14035837635002343,2.4277798792638086,4.200303650638097
1.2,200,0.6,-0.05707161003730153,-0.03365253527567145,-0.14149697358560243,2.479288274732764,4.204645279367566
1.2,200,0.65,-0.05631835160202571,-0.03389245634650577,-0.1426727663841001,2.5333263905218475,4.209572918689008
1.2,200,0.7,-0.055553307420489556,-0.03413613130884082,-0.14389296790957584,2.5901782376417835,4.2152687604734345
1.2,250,0.5,-0.05896700748378729,-0.031314154349011115,-0.14025743179211012,2.3785746941740813,4.479042615325787
1.2,250,0.55,-0.05823387556729008,-0.03153540833855051,-0.14137903139381913,2.427779879263808,4.4831837874441005
