C,form,N,D,Q,L,C_train,C_Q,C_attn,C_total,s_train,s_Q,s_attn
4.4668359215096167e+21,exp,4.115217932322646,139.64731677169192,0.9999999999999998,2.2144662741052676,3.4480748530776455e+21,5.4798391515843684e+20,4.707771532735346e+20,4.4668359215096167e+21,0.7719278060950872,0.12267831744606361,0.10539387645884926
5.011872336272714e+21,exp,4.3230339891183265,150.03948377658276,0.9999999999999996,2.2040644058247545,3.89175472845561e+21,5.887633622252974e+20,5.31354245591806e+20,5.011872336272713e+21,0.7765071548789438,0.11747373490825101,0.10601911021280515
5.623413251903491e+21,exp,4.542539544088067,161.12681800953857,1.0,2.1938776239717024,4.391549654528461e+21,6.322706845434096e+20,5.995929128316194e+20,5.62341325190349e+21,0.7809402328811509,0.11243539398947605,0.10662437312937316
6.309573444801943e+21,exp,4.774419138273065,172.95138236370408,1.0,2.1839000828467148,4.954454339688308e+21,6.786709392681894e+20,6.764481658454437e+20,6.309573444801941e+21,0.785228095533141,0.10756209515673416,0.10720980931012486
7.079457843841402e+21,exp,5.019395624726244,185.55773446228588,1.0,2.1741261459386148,5.588326082964672e+21,7.281389730159527e+20,7.629927878607766e+20,7.079457843841401e+21,0.7893720403782187,0.10285236370880846,0.1077755959129728
7.943282347242789e+21,exp,5.278236331842497,198.99295243682113,1.0,2.164550378147126,6.301990987995812e+21,7.808595230192827e+20,8.604318362276949e+20,7.943282347242789e+21,0.7933736599685783,0.09830438965704506,0.10832195037437657
8.912509381337441e+21,exp,5.551750728899924,213.30695158418212,1.0,2.155167538213704,7.105362143621423e+21,8.370284597069043e+20,9.701187780091116e+20,8.912509381337439e+21,0.797234744964181,0.09391613785670959,0.1088491171791095
1e+22,exp,5.840797556512714,228.552502499196,1.0,2.1459725713593683,8.00957338879302e+21,8.96852857857103e+20,1.0935737533498737e+21,9.999999999999996e+21,0.8009573388793024,0.08968528578571033,0.10935737533498742
1.1220184543019653e+22,exp,6.14628353279648,244.78554995509975,0.9999999999999999,2.136960602128567,9.027128368533359e+21,9.605522479025403e+20,1.2325039265837545e+21,1.1220184543019653e+22,0.804543662710909,0.08560930920696157,0.10984702808212944
1.2589254117941714e+22,exp,6.4691679365787556,262.0653495836332,1.0,2.1281269274382386,1.0172068540888455e+22,1.0283591522706209e+21,1.3888264247826372e+21,1.2589254117941714e+22,0.8079961247578297,0.08168547100856782,0.11031840423360237
