C,L,N,D,Q
1.9952623149688828e+24,1.8013975327881049,148.6701762330311,1958.6672310722352,0.9999999999999998
2.511886431509572e+24,1.793031636618012,167.64281682095626,2187.936416357785,1.0
3.1622776601683796e+24,1.7849479286333285,189.05001859729597,2443.7212522870004,1.0
3.9810717055349857e+24,1.777136589437141,213.20428222460862,2729.089315432437,1.0
5.011872336272715e+24,1.7695881834173712,240.45813669865748,3047.4642850050277,1.0
6.309573444801943e+24,1.762293638099279,271.20929801085214,3402.666842094845,1.0
7.943282347242789e+24,1.7552442252691043,305.9066618961443,3798.958183055662,1.0
1e+25,1.748431543664221,345.0565279558671,4241.09528158031,1.0
1.2589254117941714e+25,1.7418475030506488,389.23038596034104,4734.383071434531,1.0
1.5848931924611239e+25,1.73548430953121,439.0729215939741,5284.742294221023,1.0
1.995262314968883e+25,1.7293344519473657,495.31159686183935,5898.778473592611,1.0
2.5118864315095717e+25,1.7233906892550677,558.7671962722742,6583.862090035262,1.0
3.1622776601683795e+25,1.7176460387700954,630.3659046674405,7348.2159136152495,1.0
3.9810717055349854e+25,1.7120937651915713,711.1527121888151,8201.015074294157,1.0
5.0118723362727555e+25,1.70672737032386,802.3066586618371,9152.49728323102,1.0
6.309573444801943e+25,1.701540583427091,905.1580862435085,10214.085224942623,1.0
7.943282347242788e+25,1.6965273521352648,1021.2082478218682,11398.521565431205,1.0
1e+26,1.6916818338884738,1152.1509255992169,12720.025286356515,1.0
